Season,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season
2023-2024,0,0,0.0*,1.5,0.5,4.5,7.5,0.5,12.3,1,0,0,27.8*
2022-2023,0,0,0,1.7,9,26.1,7,10,22.1,12.8,0,0,88.7
2021-2022,0,0,0,0,5.8,28.4*,8.8,16.6,6.4,7.5,0,0,73.5*
2020-2021,0,0,0,9.6,5.3,14.9,7.6,2.5,6.1,2.3,0,0,48.3
2019-2020,0,0,0,1.3,9.1,20.6,18,5,6.9,1.3,0,0,62.2
2018-2019,0,0,0,4.3,11.4,17.6,11.9,25.2,5.5,9,0.8,0,85.7
2017-2018,0,0,0,5.9,7.1,10.5,8.7,18.4,7.5,7.4,0,0,65.5
2016-2017,0,0,0,0,20.3,19.7,15.2,7.9,4.3,0.9,0.1,0,68.4
2015-2016,0,0,0,0,1.6,14,13.7,11.3,8.5,3.7,0.1,0,52.9
2014-2015,0,0,0,0,8,4.9,7.2,10.7,4,0.9,T,0,35.7
2013-2014,0,0,0,0.5,6.6,30.5,10.9,19.2,7.9,9,0,0,84.6
2012-2013,0,0,0,5.9,6.2,10.5,9.7,15.8,22.9,23.5,T,0,94.5
2011-2012,0,0,0,0,5.2,2.7,9,13.3,1.8,10,0,0,42
2010-2011,0,0,0,0,16.9,27.1,19.9,3.8,1.2,8.3,T,0,77.2
2009-2010,0,0,0,2.2,T,15,5.9,3.1,0,0,4.2,0,30.4
2008-2009,0,0,0,0,2.2,27.3,11.5,5.1,11.5,3.3,T,0,60.9
2007-2008,0,0,0,0,2,18.4,3.2,5.6,3.8,32.7,T,0,65.7
2006-2007,0,0,0,3.1,2.6,6.4,2.4,10.7,11.8,7.9,0,0,44.9
2005-2006,0,0,0,0,7.9,10.4,4.2,14.9,10.5,T,T,0,47.9
2004-2005,0,0,0,T,1.9,15.5,25.3,5.2,4.9,0.2,0.3,0,53.3
2003-2004,0,0,T,6.7,21.6,9.8,17.4,8.4,8.6,T,0,0,72.5
2002-2003,0,0,0,4.5,6.8,5.3,3.3,4.1,10.8,4.3,0,0,39.1
2001-2002,0,0,0,4.4,10.8,7,6.7,3.6,13.5,2.6,0.1,0,48.7
2000-2001,0,0,0,T,12.0*,16.2,12.2,22.9,5.4,5.2,T,0,73.9*
1999-2000,0,0,0,T,T,4,7.2,4.7,3.5,4,T,0,23.4
1998-1999,0,0,0,0,11.2,10,13.3,9.2,7.5,3.4,0,0,54.6
1997-1998,0,0,0,0.6,9.9,2.8,10.7,2.6,8.7,1.2,0,0,36.5
1996-1997,0,0,0,0.3,14.7,20.9,30,7,17.3,1,0.3,0,91.5
1995-1996,0,0,T,6.2,14,15.1,28.1,15.6,7.7,3.7,0,0,90.4
1994-1995,0,0,0,0.2,4.8,5.3,11,11.4,6.5,8.5,0,0,47.7
1993-1994,0,0,0,T,21.8,12.4,16.5,6.2,7.9,8.5,0,0,73.3
1992-1993,0,0,0,2.8,14.1,17.3,15.1*,1.4,4.7,2,T,0,57.4*
1991-1992,0,0,T,T,16.1,11.5*,6.4,7.3,1.7,4.8,0,0,47.8*
1990-1991,0,0,0,3.8,1.7,10,10,11.7,6.9,2,0.4,0,46.5
1989-1990,0,0,0,T,7,7.7,18,10.8,4.9,2,T,0,50.4
1988-1989,0,0,0,1,26.6,18.1,21.9,4.8,10.7,7.2,0.5,0,90.8
1987-1988,0,0,0,5.6,0.7,6.5*,17.1,2.1,14.6,0,0,0,46.6*
1986-1987,0,0,0,0.8,8.8,8.3*,7.7,3.6,3.5*,T,0.5,0,33.2*
1985-1986,0,0,0,T,19.7,17.6,8.5,7.4,5,T,0,0,58.2
1984-1985,0,0,T,T,4.9,5.4,6,9.5,14.2,T,0,0,40
1983-1984,0,0,0,0,22.1,16.6,8.3,2,7,0.3,T,0,56.3
1982-1983,0,0,0,T,10.6,4.5,15.6,2.8,4.3,5.1,0.7,0,43.6
1981-1982,0,0,0,3.0*,4.2,11.6,21.5,4.7,13.4,3.2,0.0*,0,61.6*
1980-1981,0,0,0,1.2,2.6,7.5,3.6,6.8,1.2,0.7,0,0,23.6
1979-1980,0,0,0,T,3.9,3,21.9,7.1,14.5,0.9,T,0,51.3
1978-1979,0,0,0,0,12,13.9,8.5,17.9,17.4,1.5,T,0,71.2
1977-1978,0,0,0,0,12,9.9,10.3,7.8,7.5,3.6,0,0,51.1
1976-1977,0,0,0,0.1,2.1,8.7,11.3,10,8.7,T,0,0,40.9
1975-1976,0,0,0,0,5.5,9.3,16.6,5.2,14.8,0,0.2,0,51.6
1974-1975,0,0,0,0.5,3.1,21,40,6.7,18.3,T,0,0,89.6
1973-1974,0,0,0,0,5.1,8.5,10.5,3.7,12.7,6,1.5,0,48
1972-1973,0,0,0,7.8,0.9,12.2,4.6,1.9,0.5,0.5,0,0,28.4
1971-1972,0,0,0,1,11.4*,11,15.9,11.4,9.5,13,0,0,73.2*
1970-1971,0,0,0,1.2,11.9,24,17.5,20.2,9.9*,5.5,8.9,0,99.1*
1969-1970,0,0,0,5.5,9.5,18.1,5.6,7.1,7.9,16,2.3,0,72
1968-1969,0,0,0,T,4.1,29.9,32.1,4.9,2,0.8,0,0.7,74.5
1967-1968,0,0,0,1.5,2.8,5.2,10.5,0.4,2.3,18.4,3,0,44.1
1966-1967,0,0,0,T,3.8,13,18.9,5.9,11,1.5,1.2,0,55.3
1965-1966,0,0,T,0,28.7,13.3,11.3,2.3,19.1,17.9,0.3,0,92.9
1964-1965,0,0,0,T,6,14.9,7.6,6.6,30.9,1.5,T,0,67.5
1963-1964,0,0,0,0,0.3,9.8,5.6*,5.1,9.3,7.2,0,0,37.3*
1962-1963,0,0,0,0.5,2,6.1,1.4,7.4,22.7,1.5,0.5,0,42.1
1961-1962,0,0,0,0,1.6,12.4,10.1,11.9,7.9,8,T,0,51.9
1960-1961,0,0,0,T,9.3,4.5,3.5,3,0.5,27,2,0,49.8
1959-1960,0,0,0,1,10,5,11.5,1.5,1,3.5,T,0,33.5
1958-1959,0,0,T,0.5,3.5,9,3.5,5,4,T,0.5,0,26
1957-1958,0,0,0,T,6,4.5,8,0.5,5,0.5,0,0,24.5
1956-1957,0,0,0,0,3.5,14.5,3.5,15,16,7.5,0,0,60
1955-1956,T,0,0,6.5,17.5,12.3*,10.5,6.5,12,9,T,0,74.3*
1954-1955,0,0,0,T,5.5,2.5,13,26,16,1,T,0,64
1953-1954,0,0,0,0,11,16.5*,18,8.5,13,4.5,9,0,80.5*
1952-1953,0,0,0,T,5,1.0*,14.5,6,5,5.5*,T,T,37.0*
1951-1952,0,0,T,7.5,3,16,11.7,1,11.5,2,T,T,52.7
1950-1951,T,0,0,T,9.5,11,7,16,31.5,T*,T,0,75.0*
1949-1950,T,0,0,T,7,5,25,1,12,29.5,7,0,86.5
1948-1949,0,0,0,0,5.4,12.7,10.4,7.6,0.5,0.5,0,0,37.1
1947-1948,M,M,M,M,M,M,M,M,M,M,M,M,M
,,,,,,,,,,,,,